year,population,realwage
1210,3.4,84.4195313027622
1220,3.7,70.1937579765634
1230,3.9,59.42823779635923
1240,3.9,66.51792230539859
1250,3.8,61.219057758850134
1260,4.3,71.10536522301227
1270,4.9,56.33022439745128
1280,4.9,59.493883023294785
1290,5.3,58.638840151445194
1300,5.3,54.06856354014878
1310,5.8,46.550994498518826
1320,5,61.463046757164406
1330,4.7,57.96342694738417
1340,4.5,60.193449292208044
1350,3.5,119.11668020265306
1360,3.2,90.84850398119892
1370,3.2,71.27913200019462
1380,2.8,117.28506787330319
1390,2.8,108.89158665342309
1400,2.6,124.99072769082413
1410,2.5,111.38183083884441
1420,2.5,120.92370104540491
1430,2.5,123.34506452153511
1440,2.3,126.62929695414329
1450,2.3,144.00944324217983
1460,2.3,135.36314134519515
1470,2.4,129.17822215734927
1480,2.4,118.10721681110513
1490,2.3,102.56410256410257
1500,2.6,128.0704589528119
1510,2.8,145.47299868905148
1520,2.9,129.5481311597347
1530,3,118.3662461418597
1540,3,122.95209861132783
1550,3.2,99.80820438336778
1560,3.2,104.17762811743658
1570,3.5,122.40832038900518
1580,3.6,97.07369772503091
1590,3.6,87.46497155265489
1600,4.4,81.72941609474117
1610,4.7,82.95625942684765
1620,5,79.26144128275986
1630,5.2,67.15124675074611
1640,5.4,81.24032080842339
1650,5.6,65.99908966772873
1660,5.6,71.18863896357502
1670,5.5,79.44216752347334
1680,5.4,76.98592257415787
1690,5.4,80.0101492789783
1700,5.5,70.02280659569662
1710,5.7,59.27411422007578
1720,5.8,73.52941176470588
1730,5.7,79.64989709411616
1740,6.1,71.52693853461116
1750,6.3,81.95157684295667
1760,6.5,84.70412226728367
1770,6.8,77.99210666092931
1780,7.3,81.48658303457064
1790,8,85.16752510124506
1800,8.7,69.85171691054043
1810,9.5,75.56389037042135
1820,11.2,88.44273323329728
1830,13,86.11181073640144
1840,14.8,93.65157933007144
1850,16.7,96.56897339034413
1860,18.7,100.65936669810847
