sex,height
Male,190.5
Male,177.8
Male,172.72
Male,187.96
Male,154.94
Female,165.1
Female,167.64000000000001
Female,157.48
Female,167.64000000000001
Male,170.18
Male,182.88
Male,182.88
Male,175.26
Male,172.72
Male,175.26
Male,167.64000000000001
Male,190.5
Female,162.56
Female,152.4
Male,170.18
Male,167.64000000000001
Male,162.56
Male,177.8
Male,185.42000000000002
Male,182.88
Male,175.26
Male,175.26
Male,182.88
Female,162.56
Male,182.88
Male,190.5
Male,180.34
Female,170.18
Female,167.64000000000001
Female,170.18
Male,175.26
Male,172.72
Female,169.54500000000002
Male,182.88
Female,160.02
Male,175.26
Male,172.72
Female,160.02
Male,152.4
Male,185.42000000000002
Male,187.96
Male,187.96
Male,167.64000000000001
Male,172.72
Male,185.42000000000002
Male,177.8
Male,172.72
Male,185.42000000000002
Male,179.07
Female,165
Male,180.34
Male,177.8
Male,170.18
Male,175.26
Male,170.18
Male,175.26
Male,185.42000000000002
Male,187.96
Male,177.8
Male,167.64000000000001
Male,182.88
Female,165.1
Male,165.1
Male,177.8
Male,185.42000000000002
Male,170.18
Male,182.88
Male,172.72
Male,172.72
Female,165.1
Male,182.88
Male,180.34
Female,165.1
Female,182.88
Male,175.26
Male,177.8
Male,182.88
Male,182.88
Female,157.48
Female,165.1
Male,177.8
Male,152.4
Male,170.18
Female,157.48
Male,180.34
Female,160.02
Male,172.72
Female,162.99992799999998
Female,162.56
Male,180.34
Male,173.99
Female,157.48
Female,200
Male,177.8
Male,182.88
Female,180.34
Male,180.34
Female,176.784
Female,165.1
Male,177.8
Female,154.94
Female,160.02
Male,177.8
Male,170.18
Female,157.48
Male,172.72
Male,185.42000000000002
Female,168.91
Male,175.26
Male,187.96
Male,181.61
Male,193.04
Male,175.26
Male,187.96
Male,189.23
Male,175.26
Female,167.64000000000001
Female,162.56
Male,198.12
Male,170.18
Female,175.26
Female,170.18
Female,160.02
Male,187.96
Female,157.48
Female,175.26
Female,162.56
Male,180.34
Female,158.75
Male,172.72
Female,170.18
Male,180.34
Male,187.96
Male,190.5
Female,165.1
Male,172.72
Female,165.1
Female,167.64000000000001
Male,182.88
Male,185.42000000000002
Male,180.34
Male,187.96
Female,160.02
Male,185.42000000000002
Male,172.72
Female,195.58
Male,179.07
Female,160.02
Male,175.26
Male,175.26
Male,174.9806
Male,168.91
Female,162.99942000000001
Female,160.02
Female,165.1
Female,162.56
Female,160.02
Female,160.02
Female,175.26
Male,175.26
Female,162.56
Female,157.48
Male,177.8
Male,177.8
Female,149.86
Female,165.1
Male,171.958
Male,182.88
Male,187.96
Male,182.11800000000002
Male,180.0098
Female,167.64000000000001
Male,182.88
Male,187.96
Male,175.26
Male,180.34
Female,177.8
Male,177.8
Male,162.56
Male,172.9994
Female,172.72
Female,167.64000000000001
Female,162.56
Male,170.18
Female,165.1
Male,182.88
Male,177.8
Female,164.00779999999997
Female,129.54
Female,160.02
Female,177.8
Male,172.72
Female,170.18
Male,180.34
Male,175.26
Female,160.02
Male,180.34
Male,177.8
Female,162.56
Male,177.8
Male,172.72
Male,167.64000000000001
Female,175.26
Male,170.18
Female,165.1
Male,182.88
Male,182.88
Male,177.8
Male,190.5
Female,162.56
Female,167.64000000000001
Male,172.72
Female,175.26
Male,185.42000000000002
Male,167.64000000000001
Male,180.34
Male,170.18
Male,177.8
Male,170.18
Female,154.94
Female,162.56
Female,162.56
Male,165.1
Male,182.88
Male,177.8
Male,165.1
Male,175.26
Male,172.72
Male,170.18
Male,149.86
Male,149.86
Female,182.88
Male,195.58
Male,182.88
Female,150
Male,177.8
Male,175.26
Male,182.88
Male,175.26
Male,172.9994
Male,172.9994
Male,172.72
Male,165.1
Female,170.18
Male,170.18
Male,172.72
Male,175.26
Male,203.2
Male,172.72
Male,172.72
Female,152.4
Male,177.8
Female,152.4
