alpha3,sex,year,life_expectancy
AUS,men,1960,67.9
AUS,men,1961,68
AUS,men,1962,67.8
AUS,men,1963,67.9
AUS,men,1964,67.5
AUS,men,1965,67.7
AUS,men,1966,67.6
AUS,men,1967,67.8
AUS,men,1968,67.5
AUS,men,1969,67.5
AUS,men,1970,67.4
AUS,men,1971,68.3
AUS,men,1972,68.6
AUS,men,1973,68.6
AUS,men,1974,68.4
AUS,men,1975,69.2
AUS,men,1976,69.3
AUS,men,1977,69.9
AUS,men,1978,70.2
AUS,men,1979,70.8
AUS,men,1980,71
AUS,men,1981,71.4
AUS,men,1982,71.2
AUS,men,1983,72.1
AUS,men,1984,72.5
AUS,men,1985,72.4
AUS,men,1986,72.9
AUS,men,1987,73.1
AUS,men,1988,73.1
AUS,men,1989,73.3
AUS,men,1990,73.9
AUS,men,1991,74.4
AUS,men,1992,74.5
AUS,men,1993,75
AUS,men,1994,75
AUS,men,1995,75
AUS,men,1996,75.2
AUS,men,1997,75.6
AUS,men,1998,75.9
AUS,men,1999,76.2
AUS,men,2000,76.6
AUS,men,2001,77
AUS,men,2002,77.4
AUS,men,2003,77.8
AUS,men,2004,78.1
AUS,men,2005,78.5
AUS,men,2006,78.7
AUS,men,2007,79
AUS,men,2008,79.2
AUS,men,2009,79.3
AUS,men,2010,79.5
AUS,men,2011,79.7
AUS,men,2012,79.9
AUS,men,2013,80.1
AUS,men,2014,80.3
AUS,men,2015,80.4
AUS,men,2016,80.4
AUS,men,2017,80.5
AUS,men,2018,80.7
AUS,men,2019,80.9
AUS,everyone,1960,70.9
AUS,everyone,1961,71.2
AUS,everyone,1962,71
AUS,everyone,1963,71.1
AUS,everyone,1964,70.7
AUS,everyone,1965,71
AUS,everyone,1966,70.8
AUS,everyone,1967,71.2
AUS,everyone,1968,70.9
AUS,everyone,1969,71.1
AUS,everyone,1970,70.8
AUS,everyone,1971,71.6
AUS,everyone,1972,72
AUS,everyone,1973,72.1
AUS,everyone,1974,71.9
AUS,everyone,1975,72.7
AUS,everyone,1976,72.8
AUS,everyone,1977,73.4
AUS,everyone,1978,73.7
AUS,everyone,1979,74.3
AUS,everyone,1980,74.6
AUS,everyone,1981,74.9
AUS,everyone,1982,74.7
AUS,everyone,1983,75.5
AUS,everyone,1984,75.8
AUS,everyone,1985,75.6
AUS,everyone,1986,76.1
AUS,everyone,1987,76.3
AUS,everyone,1988,76.3
AUS,everyone,1989,76.5
AUS,everyone,1990,77
AUS,everyone,1991,77.4
AUS,everyone,1992,77.5
AUS,everyone,1993,78
AUS,everyone,1994,78
AUS,everyone,1995,77.9
AUS,everyone,1996,78.2
AUS,everyone,1997,78.5
AUS,everyone,1998,78.7
AUS,everyone,1999,79
AUS,everyone,2000,79.3
AUS,everyone,2001,79.7
AUS,everyone,2002,80
AUS,everyone,2003,80.3
AUS,everyone,2004,80.6
AUS,everyone,2005,80.9
AUS,everyone,2006,81.1
AUS,everyone,2007,81.4
AUS,everyone,2008,81.5
AUS,everyone,2009,81.6
AUS,everyone,2010,81.8
AUS,everyone,2011,82
AUS,everyone,2012,82.1
AUS,everyone,2013,82.2
AUS,everyone,2014,82.4
AUS,everyone,2015,82.5
AUS,everyone,2016,82.5
AUS,everyone,2017,82.6
AUS,everyone,2018,82.8
AUS,everyone,2019,83
AUS,women,1960,73.9
AUS,women,1961,74.4
AUS,women,1962,74.2
AUS,women,1963,74.2
AUS,women,1964,73.9
AUS,women,1965,74.2
AUS,women,1966,74
AUS,women,1967,74.5
AUS,women,1968,74.2
AUS,women,1969,74.6
AUS,women,1970,74.2
AUS,women,1971,74.9
AUS,women,1972,75.4
AUS,women,1973,75.5
AUS,women,1974,75.4
AUS,women,1975,76.2
AUS,women,1976,76.3
AUS,women,1977,76.8
AUS,women,1978,77.2
AUS,women,1979,77.8
AUS,women,1980,78.1
AUS,women,1981,78.4
AUS,women,1982,78.2
AUS,women,1983,78.8
AUS,women,1984,79
AUS,women,1985,78.8
AUS,women,1986,79.2
AUS,women,1987,79.5
AUS,women,1988,79.5
AUS,women,1989,79.6
AUS,women,1990,80.1
AUS,women,1991,80.4
AUS,women,1992,80.4
AUS,women,1993,80.9
AUS,women,1994,80.9
AUS,women,1995,80.8
AUS,women,1996,81.1
AUS,women,1997,81.3
AUS,women,1998,81.5
AUS,women,1999,81.8
AUS,women,2000,82
AUS,women,2001,82.4
AUS,women,2002,82.6
AUS,women,2003,82.8
AUS,women,2004,83
AUS,women,2005,83.3
AUS,women,2006,83.5
AUS,women,2007,83.7
AUS,women,2008,83.7
AUS,women,2009,83.9
AUS,women,2010,84
AUS,women,2011,84.2
AUS,women,2012,84.3
AUS,women,2013,84.3
AUS,women,2014,84.4
AUS,women,2015,84.5
AUS,women,2016,84.6
AUS,women,2017,84.6
AUS,women,2018,84.9
AUS,women,2019,85
AUT,men,1960,65.4
AUT,men,1961,66.5
AUT,men,1962,66.3
AUT,men,1963,66.4
AUT,men,1964,66.8
AUT,men,1965,66.6
AUT,men,1966,66.9
AUT,men,1967,66.6
AUT,men,1968,66.8
AUT,men,1969,66.5
AUT,men,1970,66.5
AUT,men,1971,66.7
AUT,men,1972,67
AUT,men,1973,67.6
AUT,men,1974,67.5
AUT,men,1975,67.7
AUT,men,1976,68.2
AUT,men,1977,68.5
AUT,men,1978,68.5
AUT,men,1979,68.8
AUT,men,1980,69
AUT,men,1981,69.3
AUT,men,1982,69.4
AUT,men,1983,69.5
AUT,men,1984,70.1
AUT,men,1985,70.4
AUT,men,1986,71
AUT,men,1987,71.5
AUT,men,1988,71.9
AUT,men,1989,71.9
AUT,men,1990,72.3
AUT,men,1991,72.3
AUT,men,1992,72.5
AUT,men,1993,72.8
AUT,men,1994,73.2
AUT,men,1995,73.4
AUT,men,1996,73.7
AUT,men,1997,74.1
AUT,men,1998,74.5
AUT,men,1999,74.9
AUT,men,2000,75.2
AUT,men,2001,75.6
AUT,men,2002,75.8
AUT,men,2003,75.9
AUT,men,2004,76.4
AUT,men,2005,76.6
AUT,men,2006,77.1
AUT,men,2007,77.4
AUT,men,2008,77.7
AUT,men,2009,77.6
AUT,men,2010,77.8
AUT,men,2011,78.3
AUT,men,2012,78.4
AUT,men,2013,78.6
AUT,men,2014,79.1
AUT,men,2015,78.8
AUT,men,2016,79.3
AUT,men,2017,79.4
AUT,men,2018,79.4
AUT,men,2019,79.7
AUT,men,2020,78.9
AUT,everyone,1960,68.7
AUT,everyone,1961,69.7
AUT,everyone,1962,69.4
AUT,everyone,1963,69.6
AUT,everyone,1964,70
AUT,everyone,1965,69.8
AUT,everyone,1966,70.2
AUT,everyone,1967,70
AUT,everyone,1968,70.2
AUT,everyone,1969,69.9
